gene_id	color	description
Tb10.v4.0218	brown	"expression site-associated gene 3 (ESAG3) protein, putative"
Tb10.v4.0221	green	hypothetical protein
Tb10.v4.0245	green	hypothetical protein
Tb11.01.2730	yellow	"hypothetical protein, conserved"
Tb11.01.6250	midnightblue	"expression site-associated gene 11 (ESAG11) protein, putative"
Tb11.02.5050b	blue	"protein kinase, putative"
Tb11.02.5400	white	"cystathionine beta-synthase, putative"
Tb11.02.5420b	lightgreen	"NADPH-cytochrome p450 reductase, putative"
Tb11.0330	brown	"Cornifin (SPRR) family, putative"
Tb11.0370	blue	"chrXI additional, unordered contigs"
Tb11.0380	black	"chrXI additional, unordered contigs"
Tb11.0390	darkgreen	"chrXI additional, unordered contigs"
Tb11.0400	pink	"P27 protein, putative"
Tb11.0420	orange	hypothetical protein
Tb11.0880	black	"chrXI additional, unordered contigs"
Tb11.1390	black	"hypothetical protein, conserved"
Tb11.1420	tan	hypothetical protein
Tb11.15.0008b	red	"expression site-associated gene 3 (ESAG3), degenerate and frameshifted"
Tb11.1780	yellow	"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
Tb11.1790	turquoise	"retrotransposon hot spot protein (RHS, pseudogene), putative"
Tb11.v4.0044	brown	"variant surface glycoprotein (VSG, pseudogene), putative"
Tb11.v5.0148	blue	"hypothetical protein, conserved"
Tb11.v5.0154	green	"WD domain, G-beta repeat, putative"
Tb11.v5.0160	brown	"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
Tb11.v5.0162	yellow	proteasome beta 6 subunit
Tb11.v5.0171	salmon	"5'-3' exonuclease XRNA, putative"
Tb11.v5.0182	brown	"60S ribosomal protein L19, putative"
Tb11.v5.0190	green	"protein kinase, putative"
Tb11.v5.0196	blue	"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
Tb11.v5.0218	pink	"hypothetical protein, conserved"
Tb11.v5.0220	brown	"hypothetical protein, conserved"
Tb11.v5.0221	pink	"transporter, putative"
Tb11.v5.0222	salmon	"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial, putative"
Tb11.v5.0261	green	"adenosine 5'-monophosphoramidase, putative"
Tb11.v5.0267	green	"hypothetical protein, conserved"
Tb11.v5.0287	darkgreen	"variant surface protein, putative"
Tb11.v5.0288	magenta	"ribonucleoside-diphosphate reductase small chain, putative"
Tb11.v5.0294	brown	"retrotransposon hot spot (RHS) protein, putative"
Tb11.v5.0296	blue	"variant surface protein, atypical (VSG), putative"
Tb11.v5.0315	magenta	"hypothetical protein, conserved"
Tb11.v5.0325	lightyellow	"retrotransposon hot spot (RHS) protein, putative"
Tb11.v5.0326	green	"retrotransposon hot spot (RHS) protein, putative"
Tb11.v5.0343	turquoise	"BarP protein, putative"
Tb11.v5.0344	turquoise	"BarP protein, putative"
Tb11.v5.0345	turquoise	"BarP protein, putative"
Tb11.v5.0346	turquoise	"BarP protein, putative"
Tb11.v5.0349	turquoise	"DNA-directed RNA polymerase II subunit 2, putative"
Tb11.v5.0360	lightgreen	"aminopeptidase, putative"
Tb11.v5.0365	salmon	"hypothetical protein, conserved"
Tb11.v5.0366	white	"hypothetical protein, conserved"
Tb11.v5.0374	yellow	"hypothetical protein, conserved"
Tb11.v5.0392	brown	"kinesin heavy chain, putative"
Tb11.v5.0394	darkorange	"hypothetical protein, conserved"
Tb11.v5.0397	black	"ATP-dependent zinc metallopeptidase, putative"
Tb11.v5.0402	turquoise	"BarP protein, putative"
Tb11.v5.0404	midnightblue	"hypothetical protein, conserved"
Tb11.v5.0410	salmon	"antigenic protein, conserved"
Tb11.v5.0411	turquoise	"peptidylprolyl isomerase-like protein, putative"
Tb11.v5.0414	salmon	"ATP-dependent DEAD/H RNA helicase, putative"
Tb11.v5.0417	darkgreen	"variant surface glycoprotein (atypical), putative"
Tb11.v5.0419	red	"AAA domain (dynein-related subfamily), putative"
Tb11.v5.0429	yellow	"receptor-type adenylate cyclase GRESAG 4, putative"
Tb11.v5.0431	lightcyan	"receptor-type adenylate cyclase GRESAG 4, putative"
Tb11.v5.0433	salmon	"hypothetical protein, conserved"
Tb11.v5.0437	yellow	"Mannosyltransferase (PIG-V)), putative"
Tb11.v5.0442	brown	"retrotransposon hot spot protein, RHS3, putative"
Tb11.v5.0448	blue	"leucine-rich repeat protein (LRRP), putative"
Tb11.v5.0452	green	"GTPase activating protein, putative"
Tb11.v5.0456	purple	"receptor-type adenylate cyclase GRESAG 4, putative"
Tb11.v5.0458	green	"hypothetical protein, conserved"
Tb11.v5.0469	green	"beta tubulin, putative"
Tb11.v5.0470	pink	"receptor-type adenylate cyclase GRESAG 4, putative"
Tb11.v5.0472	brown	"hypothetical protein, conserved"
Tb11.v5.0476	blue	"Variant Surface Glycoprotein, putative"
Tb11.v5.0477	greenyellow	"TPR repeat, putative"
Tb11.v5.0479	salmon	"hypothetical protein, conserved"
Tb11.v5.0480	yellow	"DNA-directed RNA polymerase, alpha subunit, putative"
Tb11.v5.0482	grey	"hypothetical protein, conserved"
Tb11.v5.0489	pink	"retrotransposon hot spot (RHS) protein, putative"
Tb11.v5.0491	green	"Serine hydrolase (FSH1)/RWD domain/50S ribosome-binding GTPase, putative"
Tb11.v5.0494	yellow	"RNA helicase, putative"
Tb11.v5.0495	turquoise	"retrotransposon hot spot (RHS), putative"
Tb11.v5.0498	pink	"lysosomal alpha-mannosidase precursor, putative"
Tb11.v5.0501	brown	"40S ribosomal protein S3A, putative"
Tb11.v5.0504	greenyellow	"RNA polymerase IIA largest subunit, putative"
Tb11.v5.0505	darkturquoise	"hypothetical protein, conserved"
Tb11.v5.0507	green	"hypothetical protein, conserved"
Tb11.v5.0508	darkgreen	"hypothetical protein, conserved"
Tb11.v5.0509	cyan	"hypothetical protein, conserved"
Tb11.v5.0516	red	"glyceraldehyde 3-phosphate dehydrogenase, cytosolic, putative"
Tb11.v5.0517	cyan	"hypothetical protein, conserved"
Tb11.v5.0519	green	"hypothetical protein, conserved"
Tb11.v5.0520	yellow	"acetyltransferase, putative"
Tb11.v5.0524	cyan	"hypothetical protein, conserved"
Tb11.v5.0531	green	"fructose-bisphosphate aldolase, glycosomal, putative"
Tb11.v5.0533	turquoise	"retrotransposon hot spot (RHS) protein, putative"
Tb11.v5.0535	yellow	"minichromosome maintenance (MCM) complex subunit, putative"
Tb11.v5.0537	grey	"polyubiquitin, putative"
Tb11.v5.0538	grey	"69 kDa paraflagellar rod protein, putative"
Tb11.v5.0540	green	"amino acid transporter 8, putative"
Tb11.v5.0542	brown	"hypothetical protein, conserved"
Tb11.v5.0543	cyan	"Heat shock protein 83, putative"
Tb11.v5.0547	grey60	"DNA mismatch repair protein, putative"
Tb11.v5.0551	green	"leucine-rich repeat protein (LRRP), putative"
Tb11.v5.0553	red	"ubiquitin hydrolase, putative"
Tb11.v5.0556	green	"protein kinase, putative"
Tb11.v5.0559	lightgreen	"oligosaccharyl transferase subunit, putative"
Tb11.v5.0560	blue	"leucine-rich repeat protein (LRRP), putative"
Tb11.v5.0565	brown	"mitochondrial intermediate peptidase, putative"
Tb11.v5.0567	green	"retrotransposon hot spot (RHS) protein, putative"
Tb11.v5.0570	cyan	"Zinc finger, C3HC4 type (RING finger), putative"
Tb11.v5.0576	black	"receptor-type adenylate cyclase GRESAG 4, putative"
Tb11.v5.0577	brown	"casein kinase I, putative"
Tb11.v5.0578	turquoise	"Plasma-membrane choline transporter, putative"
Tb11.v5.0581	green	"Sec8 exocyst complex component specific domain/Invariant surface glycoprotein, putative"
Tb11.v5.0582	magenta	"hypothetical protein, conserved"
Tb11.v5.0584	green	"hypothetical protein, conserved"
Tb11.v5.0585	pink	"separase, putative"
Tb11.v5.0589	pink	"Clusterin-associated protein-1, putative"
Tb11.v5.0591	cyan	"hypothetical protein, conserved"
Tb11.v5.0593	yellow	"hypothetical protein, conserved"
Tb11.v5.0594	lightgreen	"retrotransposon hot spot (RHS) protein, putative"
Tb11.v5.0602	green	"leucine-rich repeat protein 1 (LRRP1), putative"
Tb11.v5.0603	turquoise	"hypothetical protein, conserved"
Tb11.v5.0613	lightgreen	"NADH-dependent fumarate reductase, putative"
Tb11.v5.0616	red	"paraflagellar rod protein, putative"
Tb11.v5.0617	salmon	"hypothetical protein, conserved"
Tb11.v5.0621	cyan	"hypothetical protein, conserved"
Tb11.v5.0622	pink	"variant surface glycoprotein (VSG, atypical), putative"
Tb11.v5.0624	orange	"retrotransposon hot spot protein (PHS), putative"
Tb11.v5.0625	blue	"C-terminal motor kinesin, putative"
Tb11.v5.0627	green	"lipase domain protein, putative"
Tb11.v5.0628	blue	"tubulin binding cofactor c, putative"
Tb11.v5.0632	blue	"Sel1 repeat, putative"
Tb11.v5.0636	blue	"C-terminal motor kinesin, putative"
Tb11.v5.0638	cyan	"serine carboxypeptidase III precursor, putative"
Tb11.v5.0643	blue	"dual specificity protein phosphatase, putative"
Tb11.v5.0651	salmon	"Vps53-like, N-terminal, putative"
Tb11.v5.0652	cyan	"protein kinase, putative"
Tb11.v5.0653	salmon	"trypanothione synthetase, putative"
Tb11.v5.0655	brown	"trypanosome RHS family, putative"
Tb11.v5.0657	brown	"hypothetical protein, conserved"
Tb11.v5.0663	green	"hypothetical protein, conserved"
Tb11.v5.0665	darkgreen	"hypothetical protein, conserved"
Tb11.v5.0669	grey60	"zinc carboxypeptidase, putative"
Tb11.v5.0670	lightgreen	"retrotransposon hot spot (RHS) protein, putative"
Tb11.v5.0671	grey	"protein kinase A catalytic subunit, putative"
Tb11.v5.0684	yellow	"eukaryotic translation initiation factor 5, putative"
Tb11.v5.0689	pink	"NOT2 / NOT3 / NOT5 family, putative"
Tb11.v5.0693	black	"retrotransposon hot spot (RHS) protein, putative"
Tb11.v5.0695	brown	"variant surface glycoprotein (VSG), putative"
Tb11.v5.0701	purple	"ubiquitin carboxyl-terminal hydrolase, putative"
Tb11.v5.0702	cyan	"calpain-like cysteine peptidase, putative"
Tb11.v5.0703	orange	"leucine-rich repeat protein (LRRP), putative"
Tb11.v5.0706	greenyellow	"hypothetical protein, conserved"
Tb11.v5.0712	orange	"calcium-transporting ATPase, putative"
Tb11.v5.0713	green	"retrotransposon hot spot (RHS) protein, putative"
Tb11.v5.0714	brown	"RNA-binding protein, putative"
Tb11.v5.0717	greenyellow	"hypothetical protein, conserved"
Tb11.v5.0720	tan	"hypothetical protein, conserved"
Tb11.v5.0721	darkgreen	"hypothetical protein, conserved"
Tb11.v5.0723	tan	"DNA-directed rna polymerase I largest subunit, putative"
Tb11.v5.0726	pink	"WD domain, G-beta repeat/Utp13 specific WD40 associated domain containing protein, putative"
Tb11.v5.0731	turquoise	"65 kDa invariant surface glycoprotein, putative"
Tb11.v5.0732	green	"hexokinase, putative"
Tb11.v5.0740	salmon	"hypothetical protein, conserved"
Tb11.v5.0745	brown	"hypothetical protein, conserved"
Tb11.v5.0746	blue	"tatD related deoxyribonuclease, putative"
Tb11.v5.0748	cyan	"ABC transporter, putative"
Tb11.v5.0751	green	"dual specificity protein phosphatase, putative"
Tb11.v5.0752	midnightblue	"expression site-associated gene 3 (ESAG3) protein, putative"
Tb11.v5.0754	grey	"variant surface glycoprotein (VSG), putative"
Tb11.v5.0755	brown	"variant surface glycoprotein (VSG), putative"
Tb11.v5.0756	cyan	"DNA polymerase kappa, putative"
Tb11.v5.0759	brown	"variant surface glycoprotein (VSG), putative"
Tb11.v5.0762	lightgreen	"hypothetical protein, conserved"
Tb11.v5.0766	red	"folate transporter, putative"
Tb11.v5.0777	grey	"paraflagellar rod protein, putative"
Tb11.v5.0778	brown	"chaperone protein DnaJ, putative"
Tb11.v5.0780	turquoise	"ABC transporter, putative"
Tb11.v5.0783	turquoise	"methionine aminopeptidase 2, putative"
Tb11.v5.0784	pink	"receptor-type adenylate cyclase GRESAG 4, putative"
Tb11.v5.0788	turquoise	"expression site-associated gene 2 (ESAG2) protein, putative"
Tb11.v5.0792	blue	"DNA polymerase theta (helicase domain only), putative"
Tb11.v5.0800	cyan	"retrotransposon hot spot (RHS) protein, putative"
Tb11.v5.0802	blue	"hypothetical protein, conserved"
Tb11.v5.0806	lightgreen	"hypothetical protein, conserved"
Tb11.v5.0807	grey60	"ribonuclease, putative"
Tb11.v5.0816	blue	"expression site-associated gene 2 (ESAG2) protein, putative"
Tb11.v5.0817	yellow	"ubiquitin-protein ligase, putative"
Tb11.v5.0820	tan	"branched-chain amino acid aminotransferase, putative"
Tb11.v5.0826	turquoise	"expression site-associated gene (ESAG) protein, putative"
Tb11.v5.0829	red	"variant surface glycoprotein (VSG, atypical), putative"
Tb11.v5.0830	black	"receptor-type adenylate cyclase GRESAG 4, putative"
Tb11.v5.0831	turquoise	"kinesin motor domain containing protein, putative"
Tb11.v5.0840	orange	"variant surface glycoprotein (VSG, atypical), putative"
Tb11.v5.0841	yellow	"hypothetical protein, conserved"
Tb11.v5.0847	midnightblue	"variant surface glycoprotein (VSG), putative"
Tb11.v5.0851	red	"ribonuclease HII, putative"
Tb11.v5.0858	black	"hypothetical protein, conserved"
Tb11.v5.0863	grey60	"hypothetical protein, conserved"
Tb11.v5.0868	green	"mitotubule-associated protein Gb4, putative"
Tb11.v5.0869	turquoise	"cystathione gamma lyase, putative"
Tb11.v5.0874	grey60	"protein kinase, putative"
Tb11.v5.0876	brown	"hypothetical protein, conserved"
Tb11.v5.0881	yellow	"antigenic protein, putative"
Tb11.v5.0884	brown	"hypothetical protein, conserved"
Tb11.v5.0886	green	"hypothetical protein, conserved"
Tb11.v5.0888	brown	"hypothetical protein, conserved"
Tb11.v5.0889	yellow	"variant surface glycoprotein (VSG), putative"
Tb11.v5.0903	pink	"S-adenosylmethionine decarboxylase proenzyme, putative"
Tb11.v5.0904	brown	"glutaredoxin-like protein, putative"
Tb11.v5.1011	blue	"calpain-like cysteine peptidase, putative"
Tb11.v5.1016	black	"receptor-type adenylate cyclase GRESAG 4 (pseudogene), putative"
Tb11.v5.1020	brown	"retrotransposon hot spot (RHS) protein, putative"
Tb11.v5.1034	lightgreen	"heat shock protein 70 (hsp70), putative"
Tb11.v5.1035	salmon	"heat shock protein 70 (hsp70), putative"
Tb11.v5.1036	cyan	"gamma-tubulin complex subunit, putative"
Tb11.v5.1038	magenta	"calpain-like cysteine peptidase, putative"
Tb11.v5.1045	green	"protein kinase, putative"
Tb11.v5.1046	brown	"elongation factor 1-alpha, putative"
Tb11.v5.1051	purple	"nucleobase/nucleoside transporter 8.1, putative"
Tb11.v5.1059	purple	"40S ribosomal protein S4, putative"
Tb11.v5.1063	black	"hypothetical protein, conserved"
Tb927.1.1000	pink	developmentally regulated phosphoprotein
Tb927.1.1010	cyan	"E3 ubiquitin-protein ligase KCMF1, putative"
Tb927.1.1050	grey60	Metallo-dependent phosphatase-like domain-containing protein
Tb927.1.1060	turquoise	"Cell cycle checkpoint protein RAD1-like, putative"
Tb927.1.1080	blue	"TFIIH basal transcription factor subunit, putative"
Tb927.1.110	yellow	"hypothetical protein, conserved"
Tb927.1.1100	yellow	Basal body protein
Tb927.1.1150	lightgreen	zeta tubulin
Tb927.1.1160	blue	kinetoplast ribosomal PPR-repeat containing protein 3
Tb927.1.1170	darkgreen	"DNA-directed RNA polymerase 2, RPB12 subunit"
Tb927.1.1175	pink	hypothetical protein
Tb927.1.120	salmon	"retrotransposon hot spot protein 4 (RHS4), putative"
Tb927.1.1200	pink	Mitochondrial ribosomal protein S15
Tb927.1.1220	green	RWD domain-containing protein
Tb927.1.1230	turquoise	"chaperone protein DnaJ, putative"
Tb927.1.1340	green	"Quinonprotein alcohol dehydrogenase-like protein, putative"
Tb927.1.1350	greenyellow	"kinesin heavy chain, putative"
Tb927.1.1380	greenyellow	"serine/threonine protein phosphatase 2A regulatory subunit, putative"
Tb927.1.1420	darkred	"conserved protein, unknown function"
Tb927.1.1470	pink	"conserved protein, unknown function"
Tb927.1.1500	pink	"conserved protein, unknown function"
Tb927.1.1530	darkgreen	"STE group serine/threonine-protein kinase, putative"
Tb927.1.1540	turquoise	"Tubulin/FtsZ family, putative"
Tb927.1.1550	cyan	"tubulin-tyrosine ligase, putative"
Tb927.1.1580	purple	"electron transport protein SCO1/2, putative"
Tb927.1.1600	royalblue	"pseudouridine synthase TruD, putative"
Tb927.1.1620	lightgreen	"ATP-dependent DEAD/H RNA helicase, putative"
Tb927.1.1670	yellow	ARM-like helical domain-containing protein
Tb927.1.1680	brown	Transcription elongation factor 1 domain-containing protein
Tb927.1.1690	green	RNA-editing nuclease 1
Tb927.1.1700	royalblue	"AATF protein, putative"
Tb927.1.1710	salmon	"transmembrane protein, conserved"
Tb927.1.1720	purple	"cyclophilin 15, putative"
Tb927.1.1730	lightcyan	"Polyadenylation mediator complex protein PAMC1, putative"
Tb927.1.1740	yellow	"Microtubule-associated protein futsch, putative"
Tb927.1.1750	darkturquoise	"conserved protein, unknown function"
Tb927.1.1770	lightcyan	Dithiol glutaredoxin 2
Tb927.1.1790	black	"hypothetical PIN domain-containing protein, conserved"
Tb927.1.180	cyan	"retrotransposon hot spot protein 1 (RHS1), putative"
Tb927.1.1820	lightyellow	hypothetical PIN domain-containing protein
Tb927.1.1840	red	"conserved protein, unknown function"
Tb927.1.1850	black	"hypothetical protein, conserved"
Tb927.1.1880	greenyellow	WD40 repeat-containing protein
Tb927.1.1890	greenyellow	Replication Factor C Subunit 1-related protein
Tb927.1.1910	grey60	MORN repeat-containing protein
Tb927.1.1920	tan	"conserved protein, unknown function"
Tb927.1.1930	darkred	"phosphatidylinositol 3-kinase, putative"
Tb927.1.1960	darkorange	"chaperone protein DnaJ, putative"
Tb927.1.1980	blue	"protein transport protein YIF1, putative"
Tb927.1.1990	blue	"Pre-mRNA-splicing factor 38, putative"
Tb927.1.2000	brown	hypothetical protein
Tb927.1.2100	red	Calpain-like protein 1.1
Tb927.1.2110	blue	Calpain-like protein 1.2
Tb927.1.2120	salmon	Calpain-like protein CALP1.3
Tb927.1.2150	red	Small kinetoplastid calpain-related protein 1-4
Tb927.1.2160	red	Small kinetoplastid calpain-related protein 1-5
Tb927.1.2190	darkgrey	"Raptor N-terminal CASPase like domain containing protein, putative"
Tb927.1.2210	black	"nucleosome assembly protein (NAP), putative"
Tb927.1.2230	darkgreen	small myristoylated protein 1-1
Tb927.1.2260	pink	small myristoylated protein 1-2
Tb927.1.2310	darkgrey	hypothetical protein
Tb927.1.2320	green	"hypothetical protein, conserved"
Tb927.1.2360	green	alpha tubulin
Tb927.1.2370	brown	beta tubulin
Tb927.1.2390	turquoise	beta tubulin
Tb927.1.2400	green	alpha tubulin
Tb927.1.2420	lightcyan	hypothetical protein
Tb927.1.2470	yellow	"histone H3, putative"
Tb927.1.2490	yellow	"histone H3, putative"
Tb927.1.2550	yellow	"histone H3, putative"
Tb927.1.2570	lightgreen	coatomer beta subunit
Tb927.1.2580	turquoise	exosome-associated protein 1
Tb927.1.2600	magenta	pumilio/PUF RNA binding protein 9
Tb927.1.2640	pink	"hypothetical protein, conserved"
Tb927.1.2670	red	paralyzed flagella 16
Tb927.1.270	purple	hypothetical protein
Tb927.1.2700	midnightblue	"hypothetical protein, conserved"
Tb927.1.2710	darkred	"hypothetical protein, conserved"
Tb927.1.2730	magenta	"conserved protein, unknown function"
Tb927.1.2740	tan	"lipase-like protein, putative"
Tb927.1.2750	turquoise	"hypothetical protein, conserved"
Tb927.1.2760	turquoise	hypothetical protein
Tb927.1.2770	pink	"hypothetical protein, conserved"
Tb927.1.2780	brown	hypothetical protein
Tb927.1.2820	black	"pteridine transporter, putative"
Tb927.1.2850	darkgreen	"pteridine transporter, putative"
Tb927.1.2880	brown	"pteridine transporter, putative"
Tb927.1.290	brown	"leucine-rich repeat protein (LRRP), putative"
Tb927.1.2970	yellow	"hypothetical protein, conserved"
Tb927.1.2980	salmon	"hypothetical protein, conserved"
Tb927.1.2985	turquoise	"ER protein Pkr1, putative"
Tb927.1.2990	lightcyan	kinetoplast ribosomal PPR-repeat containing protein 2
Tb927.1.3000	green	"amidohydrolase, putative"
Tb927.1.3010	purple	"mRNA processing protein, putative"
Tb927.1.3030	turquoise	KREL2
Tb927.1.3040	turquoise	"hypothetical protein, conserved"
Tb927.1.3050	blue	"tRNA (Uracil-5-)-methyltransferase, putative"
Tb927.1.3070	pink	"hypothetical protein, conserved"
Tb927.1.3110	yellow	"soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative"
Tb927.1.3120	yellow	"Peptidase C50 separase, putative"
Tb927.1.3130	turquoise	"AGC/RSK family serine/threonine kinase, putative"
Tb927.1.3150	red	"hypothetical protein, conserved"
Tb927.1.3170	black	"CHORD, putative"
Tb927.1.3180	black	"40S ribosomal protein S11, putative"
Tb927.1.3200	blue	"Suppressor of G2 allele of SKP1, putative"
Tb927.1.3220	green	"TBC1 domain family member 20/GTPase, putative"
Tb927.1.3230	lightgreen	"cell division cycle protein, putative"
Tb927.1.3250	grey60	"Domain of unknown function (DUF4456), putative"
Tb927.1.3260	greenyellow	"hypothetical protein, conserved"
Tb927.1.3270	grey60	"hypothetical protein, conserved"
Tb927.1.3280	cyan	"septum formation protein MAF homologue, putative"
Tb927.1.3290	greenyellow	"hypothetical protein, conserved"
Tb927.1.3300	yellow	"Myotubularin-related protein, putative"
Tb927.1.3310	lightcyan	"hypothetical protein, conserved"
Tb927.1.3320	orange	"leucine-rich repeat protein (LRRP), putative"
Tb927.1.3360	brown	hypothetical protein
Tb927.1.3390	turquoise	"Eukaryotic protein of unknown function (DUF866), putative"
Tb927.1.3400	turquoise	"hypothetical protein, conserved"
Tb927.1.3410	darkgreen	"hypothetical protein, conserved"
Tb927.1.3450	pink	"hypothetical protein, conserved"
Tb927.1.3550	yellow	hypothetical protein
Tb927.1.3560	yellow	"Centrosomal protein of 164 kDa, putative"
Tb927.1.3670	grey60	"expression site-associated gene 8 (ESAG8) protein, putative"
Tb927.1.3760	brown	"hypothetical protein, conserved"
Tb927.1.380	green	"Protein of unknown function (DUF1181), putative"
Tb927.1.3800	red	Present in the outer mitochondrial membrane proteome 18
Tb927.1.3810	brown	"hypothetical protein, conserved"
Tb927.1.3820	yellow	"ATP synthase subunit, putative"
Tb927.1.3830	green	"glucose-6-phosphate isomerase, glycosomal"
Tb927.1.3840	green	"hypothetical protein, conserved"
Tb927.1.3850	turquoise	"Sec61beta family, putative"
Tb927.1.3860	lightgreen	"hypothetical protein, conserved"
Tb927.1.3880	salmon	"Fusaric acid resistance protein-like, putative"
Tb927.1.3910	yellow	Anaphase-promoting complex subunit CDC23
Tb927.1.3940	yellow	"hypothetical protein, conserved"
Tb927.1.3950	green	alanine aminotransferase
Tb927.1.40	orange	hypothetical protein
Tb927.1.400	pink	"hypothetical protein, conserved"
Tb927.1.4010	darkturquoise	primase 2
Tb927.1.4020	pink	hypothetical protein
Tb927.1.4040	lightcyan	"hypothetical protein, conserved"
Tb927.1.4050	royalblue	"ser/thr protein phosphatase, putative"
Tb927.1.4100	pink	cytochrome oxidase subunit IV
Tb927.1.4140	blue	Bardet-Biedl syndrome 5 protein
Tb927.1.4160	green	"hypothetical protein, conserved"
Tb927.1.4180	magenta	"leucine-rich repeat protein (LRRP), putative"
Tb927.1.420	turquoise	"retrotransposon hot spot protein 5 (RHS5), putative"
Tb927.1.4230	green	"hypothetical protein, conserved"
Tb927.1.4250	lightcyan	"hypothetical protein, conserved"
Tb927.1.4280	brown	"hypothetical protein, conserved"
Tb927.1.4300	pink	"chaperone protein DnaJ, putative"
Tb927.1.4310	darkgrey	Flagellum attachment zone protein 2
Tb927.1.4340	green	"hypothetical protein, conserved"
Tb927.1.4370	lightgreen	"Putative integral membrane protein conserved region (DUF2404), putative"
Tb927.1.4380	turquoise	"Putative integral membrane protein conserved region (DUF2404), putative"
Tb927.1.4400	green	"hypothetical protein, conserved"
Tb927.1.4410	salmon	SUMO-interacting motif-containing protein
Tb927.1.4420	green	"ABC transporter, putative"
Tb927.1.4450	yellow	"calcium-activated potassium channel, putative"
Tb927.1.4470	turquoise	"hypothetical protein, conserved"
Tb927.1.4480	greenyellow	"WD repeat and HMG-box DNA-binding protein, putative"
Tb927.1.4490	tan	"acetyltransferase, putative"
Tb927.1.4500	blue	"SNARE associated Golgi protein, putative"
Tb927.1.4520	tan	"Zinc finger, C3HC4 type (RING finger), putative"
Tb927.1.4580	blue	cyclin-like F-box protein 1C
Tb927.1.4600	yellow	cyclin-like F-box protein 1D
Tb927.1.4650	turquoise	cyclin-like F-box protein 2
Tb927.1.4680	brown	Kinetochore interacting protein 6
Tb927.1.4690	black	Protein arginine N-methyltransferase 1 catalytic subunit
Tb927.1.470	midnightblue	"Protein of unknown function (DUF1181), putative"
Tb927.1.4700	lightyellow	"hypothetical protein, conserved"
Tb927.1.4710	pink	"hypothetical protein, conserved"
Tb927.1.4720	royalblue	"SET domain containing protein, putative"
Tb927.1.4730	yellow	"Ribonuclease H2 non-catalytic subunit (Ylr154p-like), putative"
Tb927.1.4740	lightyellow	"FAM91 N-terminus/FAM91 C-terminus, putative"
Tb927.1.4760	royalblue	"Vacuolar sorting protein 39 domain 1/Vacuolar sorting protein 39 domain 2, putative"
Tb927.1.4780	black	Alpha/beta hydrolase domain-containing protein
Tb927.1.480	orange	"leucine-rich repeat protein (LRRP), putative"
Tb927.1.4800	darkred	"hypothetical protein, conserved"
Tb927.1.4830	pink	phospholipase A1
Tb927.1.4890	turquoise	"expression site-associated gene 2 (ESAG2) protein, putative"
Tb927.1.490	cyan	hypothetical protein
Tb927.1.4900	turquoise	"expression site-associated gene 11 (ESAG11) protein, putative"
Tb927.1.4910	turquoise	"expression site-associated gene 1 (ESAG1) protein, putative"
Tb927.1.5000	black	"hypothetical protein, conserved"
Tb927.1.5030	green	"leucine-rich repeat protein (LRRP), putative"
Tb927.1.5100	turquoise	"expression site-associated gene 2 (ESAG2) protein, putative"
